Country,Clicks,Impressions,CTR,Position
United States,3,198,1.52%,19.06
Germany,1,26,3.85%,9.08
United Kingdom,0,20,0%,9.8
Netherlands,0,17,0%,7.76
Canada,0,17,0%,17.24
Brazil,0,16,0%,11.06
Japan,0,15,0%,8.27
South Korea,0,13,0%,7.69
Spain,0,12,0%,9.42
France,0,10,0%,8.8
India,0,8,0%,15.38
Philippines,0,7,0%,20.71
Norway,0,6,0%,8.83
Italy,0,5,0%,6.8
Belgium,0,5,0%,9.2
Indonesia,0,5,0%,16.6
Russia,0,4,0%,5.5
Austria,0,4,0%,6.5
Romania,0,4,0%,7.5
China,0,4,0%,9
Turkey,0,4,0%,9
Thailand,0,4,0%,14.75
Pakistan,0,3,0%,7.67
Australia,0,3,0%,8
Argentina,0,3,0%,9
Switzerland,0,3,0%,13
Vietnam,0,3,0%,31.33
Ukraine,0,2,0%,6.5
Czechia,0,2,0%,7
Mexico,0,2,0%,7
Peru,0,2,0%,7.5
Malaysia,0,2,0%,8.5
Denmark,0,2,0%,9.5
Singapore,0,2,0%,9.5
Trinidad & Tobago,0,2,0%,9.5
United Arab Emirates,0,2,0%,10.5
Portugal,0,2,0%,10.5
Saudi Arabia,0,2,0%,15.5
St. Vincent & Grenadines,0,1,0%,3
Bangladesh,0,1,0%,4
Uzbekistan,0,1,0%,4
Ecuador,0,1,0%,5
Hungary,0,1,0%,5
Serbia,0,1,0%,5
Bulgaria,0,1,0%,7
Puerto Rico,0,1,0%,7
Greece,0,1,0%,8
Croatia,0,1,0%,8
Iraq,0,1,0%,8
Israel,0,1,0%,8
Poland,0,1,0%,8
Sweden,0,1,0%,8
Tunisia,0,1,0%,8
Taiwan,0,1,0%,8
Belarus,0,1,0%,9
Finland,0,1,0%,9
Honduras,0,1,0%,9
Lithuania,0,1,0%,9
Slovenia,0,1,0%,9
Bosnia & Herzegovina,0,1,0%,10
Chile,0,1,0%,10
Colombia,0,1,0%,10
Dominican Republic,0,1,0%,10
Hong Kong,0,1,0%,10
Paraguay,0,1,0%,10
Kazakhstan,0,1,0%,12
Nepal,0,1,0%,12
Somalia,0,1,0%,12
Venezuela,0,1,0%,19
