Country,Clicks,Impressions,CTR,Position
United States,10,1830,0.55%,18.81
United Kingdom,0,121,0%,19.96
Brazil,0,116,0%,13.12
Canada,0,101,0%,17.79
Germany,0,83,0%,10.83
Japan,0,74,0%,7.53
Netherlands,0,66,0%,8.23
Spain,0,59,0%,8.24
India,0,53,0%,15.28
Vietnam,0,50,0%,18.5
France,0,48,0%,7.77
South Korea,0,45,0%,7.71
Australia,0,42,0%,12.67
Mexico,0,38,0%,8.63
Italy,0,31,0%,9.06
Argentina,0,29,0%,7.48
Colombia,0,28,0%,10.11
Russia,0,26,0%,6.77
China,0,21,0%,7.19
Ukraine,0,20,0%,12.15
Philippines,0,20,0%,26.5
Austria,0,19,0%,6
Switzerland,0,19,0%,8.95
Denmark,0,19,0%,19.95
Poland,0,18,0%,7.44
Indonesia,0,18,0%,37.89
Belgium,0,17,0%,7.71
Turkey,0,16,0%,8.5
Singapore,0,16,0%,10.88
Hong Kong,0,16,0%,12.44
Czechia,0,15,0%,6.47
Taiwan,0,15,0%,7.13
Pakistan,0,15,0%,8.67
Thailand,0,13,0%,10.15
Saudi Arabia,0,13,0%,16
Norway,0,12,0%,6.75
Romania,0,12,0%,7.08
Israel,0,12,0%,8.33
Finland,0,12,0%,10.33
Sweden,0,11,0%,5.91
Portugal,0,11,0%,6.45
Peru,0,11,0%,8.09
Ecuador,0,10,0%,8.3
Hungary,0,9,0%,7.44
Ireland,0,9,0%,9.33
United Arab Emirates,0,9,0%,17.33
New Zealand,0,8,0%,6.75
Egypt,0,7,0%,8.29
Bangladesh,0,7,0%,20.14
Chile,0,6,0%,8.67
Dominican Republic,0,6,0%,10.67
Iran,0,5,0%,3.6
Slovakia,0,5,0%,6.4
Malaysia,0,5,0%,7.2
Serbia,0,5,0%,7.4
Slovenia,0,5,0%,8.2
Lithuania,0,5,0%,8.4
Croatia,0,5,0%,9.6
Algeria,0,5,0%,17.4
Bosnia & Herzegovina,0,4,0%,7
Puerto Rico,0,4,0%,7.5
Belarus,0,4,0%,7.75
Iraq,0,4,0%,8.5
Kenya,0,4,0%,16.25
Kazakhstan,0,4,0%,22
Venezuela,0,4,0%,28
Tunisia,0,3,0%,5.67
Bulgaria,0,3,0%,7
South Africa,0,3,0%,7
Greece,0,3,0%,7.33
Morocco,0,3,0%,7.33
Belize,0,3,0%,12.33
St. Vincent & Grenadines,0,2,0%,4
Nicaragua,0,2,0%,6
Guatemala,0,2,0%,7
Somalia,0,2,0%,7.5
Côte d’Ivoire,0,2,0%,8
Armenia,0,2,0%,8.5
Lebanon,0,2,0%,8.5
Estonia,0,2,0%,9.5
Trinidad & Tobago,0,2,0%,9.5
Tanzania,0,2,0%,11.5
Oman,0,2,0%,39.5
Kuwait,0,2,0%,40.5
Albania,0,1,0%,2
Cuba,0,1,0%,2
Faroe Islands,0,1,0%,2
Honduras,0,1,0%,3
El Salvador,0,1,0%,3
Uzbekistan,0,1,0%,4
Palestine,0,1,0%,5
Réunion,0,1,0%,5
Andorra,0,1,0%,6
Congo - Kinshasa,0,1,0%,6
Jamaica,0,1,0%,6
Moldova,0,1,0%,6
Angola,0,1,0%,7
Latvia,0,1,0%,7
Unknown Region,0,1,0%,7
Nigeria,0,1,0%,8
Bolivia,0,1,0%,9
Curaçao,0,1,0%,9
Georgia,0,1,0%,9
Libya,0,1,0%,9
Malta,0,1,0%,9
Kosovo,0,1,0%,9
Ethiopia,0,1,0%,10
Guam,0,1,0%,10
Paraguay,0,1,0%,10
Senegal,0,1,0%,10
Liberia,0,1,0%,11
Malawi,0,1,0%,12
Nepal,0,1,0%,12
Panama,0,1,0%,50
Mali,0,1,0%,51
