Country,Clicks,Impressions,CTR,Position
United States,2,122,1.64%,12.14
Germany,1,20,5%,9.4
United Kingdom,0,15,0%,7.13
Netherlands,0,14,0%,7.86
Canada,0,13,0%,11.46
South Korea,0,11,0%,7.45
Japan,0,10,0%,9.2
Brazil,0,9,0%,6.67
France,0,9,0%,9.11
Spain,0,9,0%,10
India,0,7,0%,16.71
Italy,0,5,0%,6.8
Norway,0,5,0%,8.4
Philippines,0,5,0%,26.2
Turkey,0,4,0%,9
Thailand,0,4,0%,14.75
Austria,0,3,0%,6
Romania,0,3,0%,8.67
Switzerland,0,3,0%,13
Indonesia,0,3,0%,21.67
Russia,0,2,0%,6
Australia,0,2,0%,7
Mexico,0,2,0%,7
Peru,0,2,0%,7.5
Argentina,0,2,0%,8.5
Pakistan,0,2,0%,8.5
Belgium,0,2,0%,9.5
Portugal,0,2,0%,10.5
Saudi Arabia,0,2,0%,15.5
Vietnam,0,2,0%,22.5
St. Vincent & Grenadines,0,1,0%,3
Bangladesh,0,1,0%,4
Ukraine,0,1,0%,4
Uzbekistan,0,1,0%,4
Hungary,0,1,0%,5
Serbia,0,1,0%,5
Bulgaria,0,1,0%,7
Malaysia,0,1,0%,7
Puerto Rico,0,1,0%,7
Czechia,0,1,0%,8
Croatia,0,1,0%,8
Israel,0,1,0%,8
Singapore,0,1,0%,8
Sweden,0,1,0%,8
Tunisia,0,1,0%,8
Taiwan,0,1,0%,8
Belarus,0,1,0%,9
Finland,0,1,0%,9
Honduras,0,1,0%,9
Lithuania,0,1,0%,9
United Arab Emirates,0,1,0%,10
Colombia,0,1,0%,10
Hong Kong,0,1,0%,10
Paraguay,0,1,0%,10
China,0,1,0%,11
Denmark,0,1,0%,11
Kazakhstan,0,1,0%,12
Nepal,0,1,0%,12
Somalia,0,1,0%,12
Venezuela,0,1,0%,19
