Country,Clicks,Impressions,CTR,Position
United States,3,380,0.79%,21.49
Germany,1,30,3.33%,8.87
Brazil,0,30,0%,10.63
United Kingdom,0,28,0%,9.29
Netherlands,0,26,0%,8.38
Canada,0,24,0%,27.46
South Korea,0,18,0%,7.83
Japan,0,17,0%,8.12
France,0,16,0%,8.38
Spain,0,15,0%,9.67
India,0,15,0%,18.13
Australia,0,11,0%,9
Indonesia,0,11,0%,53.73
Vietnam,0,8,0%,48.25
Italy,0,7,0%,8
Belgium,0,7,0%,8.14
Philippines,0,7,0%,20.71
Norway,0,6,0%,8.83
Denmark,0,6,0%,9.5
Thailand,0,6,0%,12.17
Austria,0,5,0%,6.2
Russia,0,5,0%,6.4
Argentina,0,5,0%,8.4
Turkey,0,5,0%,8.8
Mexico,0,4,0%,5.25
Ukraine,0,4,0%,6.5
Poland,0,4,0%,7.5
Romania,0,4,0%,7.5
Singapore,0,4,0%,8.25
Peru,0,4,0%,8.5
China,0,4,0%,9
United Arab Emirates,0,4,0%,10
Dominican Republic,0,4,0%,11.75
Switzerland,0,4,0%,12.25
Hong Kong,0,4,0%,27.5
Czechia,0,3,0%,7.33
Colombia,0,3,0%,7.67
Pakistan,0,3,0%,7.67
Portugal,0,3,0%,8
Israel,0,3,0%,8.67
Bangladesh,0,3,0%,10.33
Serbia,0,2,0%,5
Greece,0,2,0%,5.5
Bulgaria,0,2,0%,7
Slovakia,0,2,0%,7.5
Sweden,0,2,0%,7.5
Taiwan,0,2,0%,7.5
Ireland,0,2,0%,8
Malaysia,0,2,0%,8.5
Trinidad & Tobago,0,2,0%,9.5
Chile,0,2,0%,10
Venezuela,0,2,0%,14
Saudi Arabia,0,2,0%,15.5
El Salvador,0,1,0%,3
St. Vincent & Grenadines,0,1,0%,3
Algeria,0,1,0%,4
Uzbekistan,0,1,0%,4
Ecuador,0,1,0%,5
Hungary,0,1,0%,5
Latvia,0,1,0%,7
Puerto Rico,0,1,0%,7
Unknown Region,0,1,0%,7
Croatia,0,1,0%,8
Iraq,0,1,0%,8
Tunisia,0,1,0%,8
Belarus,0,1,0%,9
Finland,0,1,0%,9
Honduras,0,1,0%,9
Lithuania,0,1,0%,9
Slovenia,0,1,0%,9
Kosovo,0,1,0%,9
Bosnia & Herzegovina,0,1,0%,10
Paraguay,0,1,0%,10
Kazakhstan,0,1,0%,12
Nepal,0,1,0%,12
Somalia,0,1,0%,12
