Country,Clicks,Impressions,CTR,Position
United States,9,828,1.09%,21
Germany,1,52,1.92%,11.23
Brazil,0,71,0%,10.27
United Kingdom,0,58,0%,15.88
Canada,0,48,0%,24.1
Netherlands,0,46,0%,8.02
Japan,0,31,0%,8.13
South Korea,0,27,0%,7.56
France,0,27,0%,7.89
Vietnam,0,26,0%,25.77
Spain,0,25,0%,9.52
India,0,25,0%,18.6
Australia,0,24,0%,13.79
Mexico,0,19,0%,6.74
Italy,0,15,0%,10.6
Argentina,0,14,0%,7.43
Philippines,0,14,0%,29.64
Indonesia,0,13,0%,49.46
Switzerland,0,11,0%,10.36
Colombia,0,11,0%,14.36
Hungary,0,10,0%,7.2
Poland,0,10,0%,7.2
Belgium,0,10,0%,7.6
Denmark,0,10,0%,31.5
Austria,0,9,0%,6.67
Ukraine,0,9,0%,7.89
Singapore,0,9,0%,13.11
Hong Kong,0,9,0%,17
Russia,0,8,0%,6
Sweden,0,8,0%,6
Turkey,0,8,0%,7.88
Czechia,0,7,0%,6.57
Romania,0,7,0%,7.29
Peru,0,7,0%,7.71
Thailand,0,7,0%,11.43
Norway,0,6,0%,8.83
Saudi Arabia,0,6,0%,11.5
China,0,5,0%,7.6
Israel,0,5,0%,8.4
Pakistan,0,5,0%,8.6
Portugal,0,5,0%,9.8
United Arab Emirates,0,5,0%,10
Serbia,0,4,0%,5
Chile,0,4,0%,8.5
Bangladesh,0,4,0%,9.25
Dominican Republic,0,4,0%,11.75
Slovakia,0,3,0%,6
Bulgaria,0,3,0%,7
Greece,0,3,0%,7.33
Lithuania,0,3,0%,7.67
Iraq,0,3,0%,8
Malaysia,0,3,0%,8
Venezuela,0,3,0%,11.67
Kenya,0,3,0%,18
Algeria,0,3,0%,23.33
Tunisia,0,2,0%,6
Croatia,0,2,0%,6.5
Somalia,0,2,0%,7.5
Taiwan,0,2,0%,7.5
Ecuador,0,2,0%,8
Ireland,0,2,0%,8
Belarus,0,2,0%,8.5
Estonia,0,2,0%,9.5
Trinidad & Tobago,0,2,0%,9.5
Egypt,0,2,0%,14
Albania,0,1,0%,2
Cuba,0,1,0%,2
Faroe Islands,0,1,0%,2
El Salvador,0,1,0%,3
St. Vincent & Grenadines,0,1,0%,3
Kuwait,0,1,0%,4
Nicaragua,0,1,0%,4
Uzbekistan,0,1,0%,4
Lebanon,0,1,0%,6
Latvia,0,1,0%,7
Puerto Rico,0,1,0%,7
Unknown Region,0,1,0%,7
Curaçao,0,1,0%,9
Finland,0,1,0%,9
Honduras,0,1,0%,9
Malta,0,1,0%,9
New Zealand,0,1,0%,9
Slovenia,0,1,0%,9
Kosovo,0,1,0%,9
Bosnia & Herzegovina,0,1,0%,10
Paraguay,0,1,0%,10
Liberia,0,1,0%,11
Kazakhstan,0,1,0%,12
Nepal,0,1,0%,12
Panama,0,1,0%,50
Mali,0,1,0%,51
